grain,horizon_weeks,tier,level,lo,hi,width,n,empirical_coverage,coverage_error
district,1,high,0.5,-5.0,2.0,7.0,3199,0.5495,0.0495
district,1,high,0.8,-24.0,12.0,36.0,3199,0.8037,0.0037
district,1,high,0.95,-87.0,67.1,154.1,3199,0.9503,0.0003
district,1,medium,0.5,-1.0,1.0,2.0,2896,0.5325,0.0325
district,1,medium,0.8,-11.0,11.0,22.0,2896,0.8049,0.0049
district,1,medium,0.95,-37.625,50.0,87.625,2896,0.9499,-0.0001
district,1,low,0.5,0.0,1.0,1.0,1905,0.5885,0.0885
district,1,low,0.8,-3.6,10.0,13.6,1905,0.801,0.001
district,1,low,0.95,-19.0,39.4,58.4,1905,0.9512,0.0012
