grain,horizon_weeks,tier,level,lo,hi,width,n,empirical_coverage,coverage_error
division,1,high,0.5,-23.0,34.25,57.25,487,0.501,0.001
division,1,high,0.8,-471.0,614.0,1085.0,487,0.7988,-0.0012
division,1,high,0.95,-1069.325,5268.5,6337.825,487,0.9466,-0.0034
division,1,medium,0.5,-1.0,65.75,66.75,310,0.5129,0.0129
division,1,medium,0.8,-56.6,1080.1,1136.7,310,0.8,0.0
division,1,medium,0.95,-228.975,2151.55,2380.525,310,0.9484,-0.0016
division,1,low,0.5,0.0,40.5,40.5,203,0.6256,0.1256
division,1,low,0.8,-1.0,307.4,308.4,203,0.8079,0.0079
division,1,low,0.95,-38.875,627.5,666.375,203,0.9409,-0.0091
