grain,horizon_weeks,tier,level,lo,hi,width,n,empirical_coverage,coverage_error
division,2,high,0.5,-90.0,28.75,118.75,483,0.499,-0.001
division,2,high,0.8,-503.0,491.0,994.0,483,0.7971,-0.0029
division,2,high,0.95,-1096.825,5251.85,6348.675,483,0.9462,-0.0038
division,2,medium,0.5,-1.5,73.0,74.5,307,0.5049,0.0049
division,2,medium,0.8,-66.0,1187.2,1253.2,307,0.798,-0.002
division,2,medium,0.95,-224.75,2209.45,2434.2,307,0.9479,-0.0021
division,2,low,0.5,0.0,54.25,54.25,202,0.604,0.104
division,2,low,0.8,-1.0,330.4,331.4,202,0.8119,0.0119
division,2,low,0.95,-43.012,651.525,694.537,202,0.9406,-0.0094
