target,feature_set,n_features,best_model,mae,naive_mae,vs_naive_pct,folds_won,beats_naive
delta,parsimonious_endo,7,ridge,12.943,12.968,0.2,5/10,no
level,parsimonious_endo,7,ridge,12.947,12.968,0.2,5/10,no
level,parsimonious,8,ridge,14.025,12.968,-8.1,3/10,no
delta,parsimonious,8,ridge,14.03,12.968,-8.2,3/10,no
delta,weather_only,27,ridge,14.704,12.968,-13.4,2/10,no
delta,endogenous,22,ridge,15.737,12.968,-21.3,4/10,no
delta,endo_rain,35,ridge,16.299,12.968,-25.7,2/10,no
delta,all,45,ridge,16.436,12.968,-26.7,1/10,no
level,endogenous,22,ridge,16.48,12.968,-27.1,3/10,no
level,endo_rain,35,ridge,17.028,12.968,-31.3,2/10,no
level,all,45,ridge,17.166,12.968,-32.4,0/10,no
level,weather_only,27,ridge,69.471,12.968,-435.7,0/10,no
