grain,horizon_weeks,tier,level,lo,hi,width,n,empirical_coverage,coverage_error
division,4,high,0.5,-152.25,36.0,188.25,479,0.501,0.001
division,4,high,0.8,-620.8,505.8,1126.6,479,0.7996,-0.0004
division,4,high,0.95,-1986.675,5641.5,7628.175,479,0.9499,-0.0001
division,4,medium,0.5,-2.0,69.5,71.5,304,0.5164,0.0164
division,4,medium,0.8,-78.55,1392.0,1470.55,304,0.7961,-0.0039
division,4,medium,0.95,-231.6,2376.625,2608.225,304,0.9474,-0.0026
division,4,low,0.5,0.0,61.0,61.0,201,0.5672,0.0672
division,4,low,0.8,-5.5,389.0,394.5,201,0.801,0.001
division,4,low,0.95,-27.5,673.0,700.5,201,0.9453,-0.0047
