target,feature_set,n_features,best_model,mae,naive_mae,vs_naive_pct,folds_won,beats_naive
delta,parsimonious_endo,7,ridge,19.609,19.726,0.6,4/10,no
level,parsimonious_endo,7,ridge,19.625,19.726,0.5,4/10,no
level,parsimonious,8,ridge,21.444,19.726,-8.7,5/10,no
delta,parsimonious,8,ridge,21.449,19.726,-8.7,5/10,no
delta,weather_only,27,ridge,22.572,19.726,-14.4,4/10,no
delta,endogenous,22,ridge,26.144,19.726,-32.5,4/10,no
level,endogenous,22,ridge,26.853,19.726,-36.1,4/10,no
delta,endo_rain,35,ridge,26.874,19.726,-36.2,3/10,no
delta,all,45,ridge,27.161,19.726,-37.7,3/10,no
level,endo_rain,35,ridge,27.566,19.726,-39.7,3/10,no
level,all,45,ridge,27.853,19.726,-41.2,3/10,no
level,weather_only,27,ridge,68.909,19.726,-249.3,0/10,no
