fold,cut,model,train_rows,n,mae,rmse,bias,mape_nonzero
1,2023-01-29,naive_last,21440,5760,0.09600694444444445,0.5888135433979834,-0.008159722222222223,92.60744510744512
1,2023-01-29,naive_mean_7,21440,5760,0.09012896825396825,0.5595997922065749,-0.008730158730158734,71.96345139202283
1,2023-01-29,naive_mean_28,21440,5760,0.10138268849206349,0.5500433608062248,0.00883556547619047,72.63969047897619
1,2023-01-29,linear_regression,21440,5760,0.10494994338222183,0.5790356462684869,0.014332461889740482,83.60224288573164
1,2023-01-29,ridge,21440,5760,0.10633018915163485,0.5775149535232863,0.017676450156655695,84.11653892610094
1,2023-01-29,gradient_boosting,21440,5760,0.2469736245625378,0.5696863502100519,0.1526567385555162,73.9982760532131
2,2023-04-29,naive_last,27200,5760,4.313194444444444,23.91069902319415,-2.935763888888889,71.46993371967702
2,2023-04-29,naive_mean_7,27200,5760,5.329613095238095,30.954784018437568,-4.1922123015873005,68.10219598916966
2,2023-04-29,naive_mean_28,27200,5760,7.20452628968254,44.94155613551832,-6.802542162698412,79.02480229748649
2,2023-04-29,linear_regression,27200,5760,3.9040121572037436,21.334006515015677,-0.5960577270385299,67.51778360568825
2,2023-04-29,ridge,27200,5760,3.879451699025936,20.9560686131194,-0.6584766465122526,67.34098267693682
2,2023-04-29,gradient_boosting,27200,5760,5.788448792681468,42.70196456477054,-4.570990453057987,66.05790891928235
3,2023-07-28,naive_last,32960,5760,11.030034722222222,22.79565397784801,0.8272569444444444,57.63892688699217
3,2023-07-28,naive_mean_7,32960,5760,11.051661706349206,23.388275405544082,1.0873263888888887,54.573229583362405
3,2023-07-28,naive_mean_28,32960,5760,13.153962053571426,29.912677096667533,-0.42537822420634874,59.05185506263416
3,2023-07-28,linear_regression,32960,5760,15.850886366053965,41.64659992613321,-2.3615775228533575,76.19177072662717
3,2023-07-28,ridge,32960,5760,15.801703497543283,41.462272371812574,-2.3225300645766414,75.97263556888983
3,2023-07-28,gradient_boosting,32960,5760,16.4467464751618,42.53276751210086,11.223578411735017,94.83394645119184
4,2023-10-26,naive_last,38720,5760,4.234895833333334,10.57928892537994,2.1043402777777778,88.47676049122394
4,2023-10-26,naive_mean_7,38720,5760,4.635119047619048,11.370734728971737,3.0909722222222222,89.49195920745169
