grain,horizon_weeks,tier,level,lo,hi,width,n,empirical_coverage,coverage_error
district,4,high,0.5,-9.0,4.0,13.0,3150,0.5111,0.0111
district,4,high,0.8,-78.6,47.5,126.1,3150,0.8003,0.0003
district,4,high,0.95,-238.137,439.275,677.413,3150,0.9498,-0.0002
district,4,medium,0.5,0.0,5.0,5.0,2848,0.5105,0.0105
district,4,medium,0.8,-13.0,90.0,103.0,2848,0.8016,0.0016
district,4,medium,0.95,-39.0,306.65,345.65,2848,0.9501,0.0001
district,4,low,0.5,0.0,17.75,17.75,1874,0.6649,0.1649
district,4,low,0.8,0.0,80.0,80.0,1874,0.8154,0.0154
district,4,low,0.95,-5.0,219.35,224.35,1874,0.9509,0.0009
