fold,cut,model,tier,n,mae,rmse,bias,mape_nonzero
1,2023-01-29,naive_last,high,270,1.5925925925925926,3.3960761671866746,-0.4740740740740741,95.43494349017435
1,2023-01-29,naive_last,medium,1710,0.08654970760233918,0.49085198636108207,0.004678362573099415,84.31372549019608
1,2023-01-29,naive_last,low,3780,0.009259259259259259,0.11150723041068877,-0.00026455026455026457,100.0
1,2023-01-29,naive_mean_7,high,270,1.532275132275132,3.4240711205447756,-0.4899470899470899,63.0698355131644
1,2023-01-29,naive_mean_7,medium,1710,0.09039264828738512,0.354568836128679,0.006182121971595648,88.8888888888889
1,2023-01-29,naive_mean_7,low,3780,0.008843537414965985,0.08531020904691118,-0.000680272108843538,100.0
1,2023-01-29,naive_mean_28,high,270,1.6474867724867723,3.39348713170926,-0.26309523809523827,70.12212255879805
1,2023-01-29,naive_mean_28,medium,1710,0.1069548872180451,0.34793583430073394,0.022869674185463637,86.796802054155
1,2023-01-29,naive_mean_28,low,3780,0.011744142101284957,0.08381179457344289,0.002333711262282688,98.57142857142857
1,2023-01-29,linear_regression,high,270,1.7364961002644688,3.4406710283996365,-0.04493816803238162,87.69624351726796
1,2023-01-29,linear_regression,medium,1710,0.17789621668822989,0.6769375668482478,0.11150017905355943,73.36781292748327
1,2023-01-29,linear_regression,low,3780,0.01256946302628579,0.10533837691733582,0.003045653502476266,100.0
1,2023-01-29,ridge,high,270,1.7707698704591526,3.418799983710683,0.05982669472621067,90.3442051839456
1,2023-01-29,ridge,medium,1710,0.1750132494035272,0.6665635407776522,0.10856079955030751,73.01892214747284
1,2023-01-29,ridge,low,3780,0.01328059154344887,0.10835534353629328,0.0037567820196393467,100.0
1,2023-01-29,gradient_boosting,high,270,1.6672339495988737,3.4807670282367473,-0.1528776486155007,86.28471458803973
1,2023-01-29,gradient_boosting,medium,1710,0.24016194510882702,0.3891825880225052,0.16101922018669362,79.75009986623927
1,2023-01-29,gradient_boosting,low,3780,0.18973850064730863,0.19902705672510493,0.18168524363039065,83.32393457184953
2,2023-04-29,naive_last,high,180,109.41666666666667,212.594279739079,-92.60555555555555,61.44083990511234
2,2023-04-29,naive_last,medium,1170,6.664957264957265,14.247986812358025,-5.835897435897436,79.42972651550669
2,2023-04-29,naive_last,low,4410,3.1095238095238096,7.82807031184929,-2.629251700680272,78.89049034345092
