grain,horizon_weeks,tier,level,lo,hi,width,n,empirical_coverage,coverage_error
district,2,high,0.5,-4.0,5.0,9.0,3168,0.5117,0.0117
district,2,high,0.8,-68.65,53.3,121.95,3168,0.7999,-0.0001
district,2,high,0.95,-206.725,433.825,640.55,3168,0.9495,-0.0005
district,2,medium,0.5,0.0,5.543,5.543,2872,0.5397,0.0397
district,2,medium,0.8,-10.0,90.9,100.9,2872,0.804,0.004
district,2,medium,0.95,-34.112,290.225,324.337,2872,0.9499,-0.0001
district,2,low,0.5,0.0,11.0,11.0,1896,0.6719,0.1719
district,2,low,0.8,0.0,64.0,64.0,1896,0.8212,0.0212
district,2,low,0.95,-6.0,178.0,184.0,1896,0.9525,0.0025
