grain,horizon_weeks,tier,level,lo,hi,width,n,empirical_coverage,coverage_error
division,1,high,0.5,-34.5,8.0,42.5,487,0.5031,0.0031
division,1,high,0.8,-178.2,72.6,250.8,487,0.7988,-0.0012
division,1,high,0.95,-674.45,372.75,1047.2,487,0.9466,-0.0034
division,1,medium,0.5,-3.0,5.0,8.0,310,0.5161,0.0161
division,1,medium,0.8,-41.0,84.5,125.5,310,0.8032,0.0032
division,1,medium,0.95,-223.75,355.275,579.025,310,0.9484,-0.0016
division,1,low,0.5,-1.0,3.0,4.0,203,0.5419,0.0419
division,1,low,0.8,-18.8,27.0,45.8,203,0.7931,-0.0069
division,1,low,0.95,-46.85,148.75,195.6,203,0.9409,-0.0091
