grain,horizon_weeks,tier,level,lo,hi,width,n,empirical_coverage,coverage_error
district,2,high,0.5,-7.0,2.0,9.0,3168,0.5338,0.0338
district,2,high,0.8,-39.0,16.0,55.0,3168,0.8027,0.0027
district,2,high,0.95,-135.825,99.0,234.825,3168,0.9498,-0.0002
district,2,medium,0.5,-2.0,1.0,3.0,2872,0.547,0.047
district,2,medium,0.8,-14.0,14.0,28.0,2872,0.8033,0.0033
district,2,medium,0.95,-55.0,82.225,137.225,2872,0.9506,0.0006
district,2,low,0.5,0.0,1.0,1.0,1896,0.5712,0.0712
district,2,low,0.8,-5.0,17.0,22.0,1896,0.808,0.008
district,2,low,0.95,-24.625,74.625,99.25,1896,0.9494,-0.0006
