fold,cut,model,train_rows,n,mae,rmse,bias,mape_nonzero
1,2023-01-29,naive_last,21440,5760,0.10642361111111111,0.7875992001011682,-0.021006944444444446,92.7245833252205
1,2023-01-29,naive_mean_7,21440,5760,0.1044642857142857,0.7692033234681628,-0.021577380952380956,73.23681480373223
1,2023-01-29,naive_mean_28,21440,5760,0.11668526785714287,0.7618072447358887,-0.004011656746031752,77.06314562647557
1,2023-01-29,linear_regression,21440,5760,0.14245990414021525,0.8356073351645407,0.032993849141007614,84.72779996923514
1,2023-01-29,ridge,21440,5760,0.14367728429483326,0.829151760552122,0.037498751882177,86.32924587623205
1,2023-01-29,gradient_boosting,21440,5760,0.2739655598914265,0.7993035080923763,0.15986738234651698,84.2321219192643
2,2023-04-29,naive_last,27200,5760,7.153819444444444,38.73676745390325,-6.092361111111111,77.81209813921706
2,2023-04-29,naive_mean_7,27200,5760,8.00203373015873,43.54229941277708,-7.348809523809525,75.20544012099715
2,2023-04-29,naive_mean_28,27200,5760,10.17906746031746,55.94616777417441,-9.959139384920634,85.27975564313537
2,2023-04-29,linear_regression,27200,5760,6.509257334724419,35.29956745083204,-1.7991955266102833,73.99843044699898
2,2023-04-29,ridge,27200,5760,6.428089241604988,34.655617408169846,-1.8448702757019908,73.62985177806584
2,2023-04-29,gradient_boosting,27200,5760,8.50412787848485,52.59471213469258,-7.480698743114177,71.9526886829301
3,2023-07-28,naive_last,32960,5760,13.006944444444445,28.911202653796487,1.8489583333333333,63.82099130330982
3,2023-07-28,naive_mean_7,32960,5760,12.834325396825397,29.124525557433174,2.1090277777777775,60.80350418773606
3,2023-07-28,naive_mean_28,32960,5760,14.041040426587303,32.66584834978156,0.5963231646825398,63.15527718296149
3,2023-07-28,linear_regression,32960,5760,27.763279248063363,84.3983808515689,-5.144548741204365,123.13036580902946
3,2023-07-28,ridge,32960,5760,27.653267816652228,84.22348747013007,-5.321510672954776,122.68618572452954
3,2023-07-28,gradient_boosting,32960,5760,18.360543469804416,42.76065567985325,11.673416500897856,134.42547030582566
4,2023-10-26,naive_last,38720,5760,5.5203125,14.83357326584978,4.241145833333333,142.97754767206047
4,2023-10-26,naive_mean_7,38720,5760,6.07470238095238,16.026322505133507,5.227777777777778,152.59376013760934
4,2023-10-26,naive_mean_28,38720,5760,9.794283234126985,25.0164370125213,9.288938492063492,270.86391258297505
4,2023-10-26,linear_regression,38720,5760,5.170286465245447,13.945484789856021,3.186149021769803,120.36049734818035
4,2023-10-26,ridge,38720,5760,5.174901361592531,13.768748972941964,3.2447966213924033,120.39456202404767
4,2023-10-26,gradient_boosting,38720,5760,3.188071956320878,7.139874460133731,0.9659816436476635,78.34267977860355
5,2024-01-24,naive_last,44480,5760,0.2503472222222222,0.9117291264405235,-0.00625,90.14636353745266
5,2024-01-24,naive_mean_7,44480,5760,0.23365575396825397,0.7415457938651482,-0.006770833333333358,74.87139035724609
5,2024-01-24,naive_mean_28,44480,5760,0.2646081349206349,0.8275029886019293,0.034461805555555544,76.35210347957873
5,2024-01-24,linear_regression,44480,5760,1.1507250018495632,1.8338931694662597,1.0609879134928433,119.63909753661979
5,2024-01-24,ridge,44480,5760,1.1405609819521632,1.8160241062785116,1.0507710397634529,118.30031458338385
5,2024-01-24,gradient_boosting,44480,5760,0.3619152317234204,0.9547544453271897,0.14811050841681606,82.34375494688416
6,2024-04-23,naive_last,50240,3392,0.38237028301886794,1.261620513765814,-0.0433372641509434,84.08162440157048
6,2024-04-23,naive_mean_7,50240,3392,0.35672169811320753,1.046170151986746,-0.033692722371967666,65.27416160606285
6,2024-04-23,naive_mean_28,50240,3392,0.3493724730458221,1.0416172896139535,-0.058035714285714295,62.95851394616272
6,2024-04-23,linear_regression,50240,3392,1.106565830684417,1.899590943769373,0.9462758457730375,110.02287583576063
6,2024-04-23,ridge,50240,3392,1.1176440976265185,1.8976866259575562,0.9586580928358523,109.9986938421988
6,2024-04-23,gradient_boosting,50240,3392,0.7818340969318676,1.8136191346537438,0.5915814211955384,100.21203091204491
7,2024-07-22,naive_last,53632,3328,6.9600360576923075,17.973964544371054,-2.6781850961538463,85.40044012070958
7,2024-07-22,naive_mean_7,53632,3328,7.105812156593407,20.06101842169976,-3.2921960851648353,70.79883759736425
7,2024-07-22,naive_mean_28,53632,3328,8.07712697458791,25.271800330536447,-5.486982743818682,70.61223230015786
7,2024-07-22,linear_regression,53632,3328,7.715878997671107,16.763041024552987,0.660706896238173,99.50357607287849
7,2024-07-22,ridge,53632,3328,7.719673975399999,16.75341156791311,0.6723819695814903,99.19871312255863
7,2024-07-22,gradient_boosting,53632,3328,6.290985221759852,16.409797860954946,-2.027068275747596,65.14568214633147
8,2024-10-20,naive_last,56960,5696,4.568644662921348,14.456012560775651,2.41625702247191,123.6130394781652
8,2024-10-20,naive_mean_7,56960,5696,4.82524077046549,16.179759513670213,2.905246789727127,107.27198573132661
8,2024-10-20,naive_mean_28,56960,5696,6.529168338683788,22.14777657418729,4.469439707062601,161.40448184784915
