grain,horizon_weeks,tier,level,lo,hi,width,n,empirical_coverage,coverage_error
district,4,high,0.5,-10.0,2.0,12.0,3150,0.5241,0.0241
district,4,high,0.8,-69.0,20.0,89.0,3150,0.8029,0.0029
district,4,high,0.95,-226.0,118.275,344.275,3150,0.9502,0.0002
district,4,medium,0.5,-3.0,1.0,4.0,2848,0.5232,0.0232
district,4,medium,0.8,-24.0,22.0,46.0,2848,0.8034,0.0034
district,4,medium,0.95,-90.825,130.3,221.125,2848,0.9494,-0.0006
district,4,low,0.5,0.0,2.0,2.0,1874,0.5486,0.0486
district,4,low,0.8,-8.0,38.0,46.0,1874,0.8074,0.0074
district,4,low,0.95,-29.35,140.0,169.35,1874,0.9504,0.0004
