fold,cut,model,tier,n,mae,rmse,bias,mape_nonzero
1,2023-01-29,naive_last,high,270,1.3407407407407408,2.382031501486509,-0.18518518518518517,85.88926505593172
1,2023-01-29,naive_last,medium,1710,0.0912280701754386,0.4944132324730442,0.0023391812865497076,105.34591194968554
1,2023-01-29,naive_last,low,3780,0.009259259259259259,0.11150723041068877,-0.00026455026455026457,100.0
1,2023-01-29,naive_mean_7,high,270,1.2275132275132277,2.3754539686273173,-0.2010582010582011,61.17847320228273
1,2023-01-29,naive_mean_7,medium,1710,0.09072681704260652,0.3850655145960096,0.0038429406850459366,88.6455525606469
1,2023-01-29,naive_mean_7,low,3780,0.008616780045351474,0.08397067582205811,-0.0006802721088435387,97.14285714285714
1,2023-01-29,naive_mean_28,high,270,1.3255291005291003,2.3471559719078288,0.025793650793650823,65.09801485991963
1,2023-01-29,naive_mean_28,medium,1710,0.10657894736842104,0.36612860465931807,0.020530492898913934,82.48820754716982
1,2023-01-29,naive_mean_28,low,3780,0.011592970521541946,0.08290503802470621,0.002333711262282688,96.66666666666667
1,2023-01-29,linear_regression,high,270,1.2864595330946351,2.346551983536585,-0.03069164653665004,75.53796807997018
1,2023-01-29,linear_regression,medium,1710,0.12770502381690774,0.4906176305672741,0.05042813113725144,98.47836316607864
1,2023-01-29,linear_regression,low,3780,0.010262436301358249,0.09331714156423129,0.0012194764034657904,93.94129471344496
1,2023-01-29,ridge,high,270,1.3143082052718644,2.3353098197517927,0.03860445000597601,76.62612966321534
1,2023-01-29,ridge,medium,1710,0.1265642041271572,0.49204599439294167,0.04929523645677045,97.97213456766137
1,2023-01-29,ridge,low,3780,0.010892562177929737,0.09566976492827715,0.0018778563649856721,93.58529324309522
1,2023-01-29,gradient_boosting,high,270,1.2178063669094776,2.316807490905495,-0.15960385507164687,68.1996364849824
1,2023-01-29,gradient_boosting,medium,1710,0.23455109117210346,0.4045504850686761,0.15224318570890694,84.0097032178326
1,2023-01-29,gradient_boosting,low,3780,0.18324814616676235,0.19262415620391923,0.1751481501023511,83.8539553704237
2,2023-04-29,naive_last,high,180,64.65,130.39391175289674,-47.37222222222222,56.1656329595977
2,2023-04-29,naive_last,medium,1170,4.18974358974359,9.819307685310784,-2.7025641025641027,64.87748715492437
2,2023-04-29,naive_last,low,4410,1.883219954648526,5.212991794230259,-1.1839002267573697,76.13427529424219
2,2023-04-29,naive_mean_7,high,180,88.89682539682539,170.7646063844929,-69.06349206349206,79.64501520820237
2,2023-04-29,naive_mean_7,medium,1170,4.614652014652015,10.381878172247756,-3.787545787545788,63.403940830269455
2,2023-04-29,naive_mean_7,low,4410,2.108390022675737,5.718619995357508,-1.651765468091999,68.62424291881625
2,2023-04-29,naive_mean_28,high,180,125.83174603174601,248.98216694899412,-119.17579365079364,73.01886202928726
2,2023-04-29,naive_mean_28,medium,1170,6.238125763125763,14.248101469093138,-5.890445665445666,76.23197658875264
2,2023-04-29,naive_mean_28,low,4410,2.618990929705215,7.340458037833354,-2.457863621639132,80.94119559694568
2,2023-04-29,linear_regression,high,180,58.58217229905346,116.92578150452549,-2.8039772783992376,83.40725778828411
2,2023-04-29,linear_regression,medium,1170,3.4599821320233857,7.603691201541727,-0.7890149285965699,59.270487217109725
2,2023-04-29,linear_regression,low,4410,1.7900544029924217,4.593835833200603,-0.4547458347328987,68.97997232379389
2,2023-04-29,ridge,high,180,57.816721972193115,114.71292808235629,-4.637809463884847,81.69043865049025
2,2023-04-29,ridge,medium,1170,3.4573924414023605,7.614206955766981,-0.8093486756168767,58.769483589312664
2,2023-04-29,ridge,low,4410,1.789905368470265,4.594216180029103,-0.45602762583663403,69.13083250465638
2,2023-04-29,gradient_boosting,high,180,110.23349573763521,239.09968748339352,-94.40239229486528,66.33762077575594
2,2023-04-29,gradient_boosting,medium,1170,3.9961744563688852,8.817506790982916,-2.835706518078645,61.529446379493066
2,2023-04-29,gradient_boosting,low,4410,2.0008870066030213,5.255215339164536,-1.3647840749175126,67.91484296446559
3,2023-07-28,naive_last,high,270,46.51851851851852,70.38865649352148,20.37037037037037,21.79961801746268
3,2023-07-28,naive_last,medium,1800,14.90611111111111,25.526859492612004,-0.5238888888888888,43.462102577491216
3,2023-07-28,naive_last,low,3690,6.542547425474255,11.43483955093186,0.056368563685636856,68.61549877999413
3,2023-07-28,naive_mean_7,high,270,54.06402116402116,82.93040867676669,29.48412698412698,23.802218556883137
3,2023-07-28,naive_mean_7,medium,1800,14.678174603174604,22.661356670945374,-1.009285714285714,45.50743669541683
3,2023-07-28,naive_mean_7,low,3690,6.135385210994967,10.006865349780787,0.03224932249322499,62.27777909667856
3,2023-07-28,naive_mean_28,high,270,75.2941798941799,115.39475352117027,36.56190476190476,30.807207285630355
3,2023-07-28,naive_mean_28,medium,1800,17.235892857142858,25.229389909807338,-4.896805555555556,50.726611747088235
3,2023-07-28,naive_mean_28,low,3690,6.615931087882308,10.577101756972294,-0.950580720092915,66.12593285814847
3,2023-07-28,linear_regression,high,270,102.77748135004035,166.5432210239626,-90.45570963491181,28.705733159109865
3,2023-07-28,linear_regression,medium,1800,17.787373769219904,31.111376307301974,-0.4059310846410713,51.49293002736851
3,2023-07-28,linear_regression,low,3690,8.54577580470572,14.34405302476933,3.1303607106083415,94.01024010641378
3,2023-07-28,ridge,high,270,102.24374041551046,165.635593977707,-89.99139587190595,28.510366915398155
3,2023-07-28,ridge,medium,1800,17.746237115665256,31.070344941540437,-0.37354230962249757,51.375441976254564
3,2023-07-28,ridge,low,3690,8.528123421534966,14.322849953347417,3.141539260372262,93.73275359107049
3,2023-07-28,gradient_boosting,high,270,112.51424619533769,172.45679736934048,100.07288945677556,44.95898317009837
3,2023-07-28,gradient_boosting,medium,1800,18.652281202846247,32.00499057632532,9.405089235624793,56.524326370740965
3,2023-07-28,gradient_boosting,low,3690,8.341546628473587,12.165419474664384,5.6094772016638705,120.39652540520203
4,2023-10-26,naive_last,high,2250,7.593333333333334,15.875053805683097,4.432444444444444,86.15261380310949
4,2023-10-26,naive_last,medium,2700,2.4744444444444444,5.197399634717631,0.7396296296296296,90.0471516602832
4,2023-10-26,naive_last,low,810,0.774074074074074,2.4070370085426247,0.18641975308641975,102.40571277680652
4,2023-10-26,naive_mean_7,high,2250,8.627746031746032,17.40198622906458,6.534920634920635,95.51907465527417
4,2023-10-26,naive_mean_7,medium,2700,2.4895238095238095,4.733101779651286,1.0767195767195765,83.3121338248169
4,2023-10-26,naive_mean_7,low,810,0.6964726631393298,1.8854777789797617,0.23862433862433863,75.05367586282765
4,2023-10-26,naive_mean_28,high,2250,16.205460317460314,30.929777625953434,15.107111111111111,218.63195848448913
4,2023-10-26,naive_mean_28,medium,2700,3.460410052910053,5.652134268363051,2.511547619047619,131.13144257747135
4,2023-10-26,naive_mean_28,low,810,0.9145061728395062,2.064362987758088,0.5235890652557318,91.32156781710353
4,2023-10-26,linear_regression,high,2250,7.084608918478478,15.355334989457448,3.265149615479751,72.18654189612755
4,2023-10-26,linear_regression,medium,2700,2.4239530586544675,4.857024355652331,-0.14513696193785625,78.72709937602636
4,2023-10-26,linear_regression,low,810,0.7328715994103588,2.2025358417631202,-0.00039458900870644836,100.89547454702608
4,2023-10-26,ridge,high,2250,7.11313883155351,15.322408656801304,3.342904209578282,72.51879547479292
4,2023-10-26,ridge,medium,2700,2.4309148132789478,4.870661024576468,-0.13926877002747962,78.73437689275983
4,2023-10-26,ridge,low,810,0.7290433609708095,2.195127934764005,-0.007428683957603676,100.64605073047063
4,2023-10-26,gradient_boosting,high,2250,5.857685279089992,12.06741774389404,-0.18441271391900824,62.10487180763189
4,2023-10-26,gradient_boosting,medium,2700,2.055844910500444,4.092172664036546,0.0019609906169637693,59.164319251002965
4,2023-10-26,gradient_boosting,low,810,0.6166097937621962,1.7620844664943243,0.08378620860145995,68.1100685922701
5,2024-01-24,naive_last,high,2340,0.4688034188034188,1.2349954150577545,-0.007264957264957265,85.02929940429941
5,2024-01-24,naive_last,medium,2700,0.08074074074074074,0.37515428924742517,0.0,93.86446886446885
5,2024-01-24,naive_last,low,720,0.005555555555555556,0.07453559924999299,0.0,100.0
5,2024-01-24,naive_mean_7,high,2340,0.4385225885225885,1.034529447330541,-0.008608058608058636,67.19375163762918
