grain,horizon_weeks,tier,level,lo,hi,width,n,empirical_coverage,coverage_error
division,4,high,0.5,-96.0,23.5,119.5,479,0.499,-0.001
division,4,high,0.8,-632.0,195.6,827.6,479,0.7996,-0.0004
division,4,high,0.95,-2368.2,742.55,3110.75,479,0.9499,-0.0001
division,4,medium,0.5,-15.75,9.25,25.0,304,0.5,0.0
division,4,medium,0.8,-102.7,402.3,505.0,304,0.7961,-0.0039
division,4,medium,0.95,-662.65,1264.2,1926.85,304,0.9474,-0.0026
division,4,low,0.5,-5.0,4.0,9.0,201,0.5025,0.0025
division,4,low,0.8,-46.0,123.0,169.0,201,0.806,0.006
division,4,low,0.95,-114.0,487.0,601.0,201,0.9453,-0.0047
