grain,horizon_weeks,tier,level,lo,hi,width,n,empirical_coverage,coverage_error
district,1,high,0.5,-2.0,6.0,8.0,3199,0.508,0.008
district,1,high,0.8,-58.5,66.2,124.7,3199,0.8003,0.0003
district,1,high,0.95,-183.175,434.05,617.225,3199,0.95,-0.0
district,1,medium,0.5,0.0,6.0,6.0,2896,0.5566,0.0566
district,1,medium,0.8,-9.0,90.0,99.0,2896,0.8025,0.0025
district,1,medium,0.95,-35.5,276.625,312.125,2896,0.9499,-0.0001
district,1,low,0.5,0.0,9.0,9.0,1905,0.6745,0.1745
district,1,low,0.8,0.0,57.0,57.0,1905,0.8189,0.0189
district,1,low,0.95,-6.0,165.4,171.4,1905,0.9522,0.0022
