District,Month,Patients
Rangpur,14/9/2019,8
Barishal,14/9/2019,49
Sylet,14/9/2019,9
Mymensingh,14/9/2019,7
Rajshahi, 14/9/2019,30
Dhaka,15/9/2019,250
Chottogram,15/9/2019,54
Khulna,15/9/2019,185
Rangpur,15/9/2019,10
Barishal,15/9/2019,65
Sylet,15/9/2019,4
Mymensingh,15/9/2019,11
Rajshahi,15/9/2019,40
Dhaka,16/9/2019,294
Chottogram,16/9/2019,41
Khulna,16/9/2019,188
Rangpur,16/9/2019,10
Barishal,16/9/2019,60
Sylet,16/9/2019,8
Mymensingh,16/9/2019,16
Rajshahi,16/9/2019,36
Dhaka,17/9/2019,291
Chottogram,17/9/2019,48
Khulna,17/9/2019,157
Rangpur,17/9/2019,8
Barishal,17/9/2019,63
Sylet,17/9/2019,3
Mymensingh,17/9/2019,10
Rajshahi,17/9/2019,35
Dhaka,18/9/2019,263
Chottogram,18/9/2019,37
Khulna,18/9/2019,151
Rangpur,18/9/2019,6
Barishal,18/9/2019,48
Sylet,18/9/2019,5
Mymensingh,18/9/2019,3
Rajshahi,18/9/2019,22
Dhaka,19/9/2019,232
Chottogram,19/9/2019,45
Khulna,19/9/2019,134
Rangpur,19/9/2019,16
Barishal,19/9/2019,43
Sylet,19/9/2019,2
Mymensingh,19/9/2019,2
Rajshahi,19/9/2019,17
Dhaka,20/9/2019,240
Chottogram,20/9/2019,34
Khulna,20/9/2019,146
Rangpur,20/9/2019,3
Barishal,20/9/2019,42
Sylet,20/9/2019,3
Mymensingh,20/9/2019,10
Rajshahi,20/9/2019,30
Dhaka,21/9/2019,202
Chottogram,21/9/2019,26
Khulna,21/9/2019,100
Rangpur,21/9/2019,8
Barishal,21/9/2019,51
Sylet,21/9/2019,2
Mymensingh,21/9/2019,2
Rajshahi,21/9/2019,17
Dhaka,22/9/2019,181
Chottogram,22/9/2019,39
Khulna,22/9/2019,90
Rangpur,22/9/2019,9
Barishal,22/9/2019,65
Sylet,22/9/2019,8
