week,grain,division,district,admissions,lag_0,lag_1,lag_2,lag_3,lag_4,lag_8,roll_mean_4,roll_mean_8,roll_max_4,roll_max_8,roll_std_4,growth_1_4,growth_4_8,peer_other_lag1,log_population,month,woy_sin,woy_cos,eid_days,ramadan_days,holiday_days,fog_days,rain_lag_0,rain_lag_2,rain_lag_3,rain_lag_4,rain_lag_5,rain_lag_6,rain_lag_8,rain_lag_10,rain_lag_12,temp_lag_0,temp_max_lag_0,temp_lag_2,temp_lag_4,temp_max_lag_4,temp_lag_6,temp_lag_8,humid_lag_0,humid_lag_4,humid_lag_8,rain_sum_4_8,rain_sum_8_12,rain_sum_0_3,rain_x_temp_4_8,y_w1,y_w2,y_w4
2025-11-17,division,Dhaka,Dhaka,2474.0,2474.0,2710.0,3299.0,3428.0,2990.0,1950.0,2977.75,2725.0,3428.0,3428.0,458.759468567135,0.8308854385228703,1.0927182685253118,309.2857142857143,17.604592364757483,11,-0.5680647467311559,0.8229838658936564,0.0,0.0,0.0,0.0,0.0,7.203076923076923,79.89153846153846,0.2961538461538462,1.5053846153846153,115.98538461538462,79.07384615384616,73.6276923076923,59.86923076923077,20.90021978021978,26.30747252747253,24.134175824175824,26.428241758241754,30.985824175824177,27.08,27.853406593406593,76.36901098901099,80.21791208791208,89.10879120879122,308.5692307692307,274.7246153846153,87.09461538461532,8356.054769230768,2044.0,1630.0,652.0
2025-11-17,division,Khulna,Khulna,206.0,206.0,231.0,239.0,310.0,239.0,205.0,246.5,229.25,310.0,310.0,44.60567975792602,0.8363636363636363,1.0749185667752443,663.4285714285714,16.659378702207434,11,-0.5680647467311559,0.8229838658936564,0.0,0.0,0.0,0.0,0.001,2.6689999999999996,56.009,1.571,0.187,80.43100000000001,52.576,35.696999999999996,47.387,20.619999999999997,26.488,23.28385714285714,26.363142857142854,30.802142857142854,26.878571428571426,27.72942857142857,76.42999999999999,80.10157142857142,89.74928571428572,218.92799999999997,217.88099999999994,58.678999999999945,5884.471885714284,191.0,109.0,58.0
2025-11-17,division,Mymensingh,Mymensingh,87.0,87.0,130.0,104.0,113.0,117.0,53.0,108.5,99.875,130.0,130.0,17.935068069752866,0.8036529680365296,1.0855018587360594,677.8571428571429,16.31903432869183,11,-0.5680647467311559,0.8229838658936564,0.0,0.0,0.0,0.0,0.0,6.64,101.7875,0.14,0.0475,76.80250000000001,28.06,108.0875,72.685,20.685,25.839285714285715,24.123571428571427,26.207857142857144,30.8425,26.91857142857143,28.209285714285713,75.58285714285714,77.97571428571429,87.49571428571429,231.60500000000002,361.62,108.4275,6234.475735714286,72.0,40.0,24.0
2025-11-17,division,Rajshahi,Rajshahi,107.0,107.0,186.0,138.0,190.0,136.0,156.0,155.25,144.25,190.0,190.0,39.91136012048033,0.6912,1.0757314974182444,669.8571428571429,16.828744725921833,11,-0.5680647467311559,0.8229838658936564,0.0,0.0,0.0,0.0,0.0,0.3025,91.96,0.0,0.01875,33.6325,22.033749999999998,76.0825,39.8125,20.44964285714286,25.683035714285715,23.30392857142857,26.296071428571427,30.365357142857142,26.990892857142857,28.37875,76.55053571428572,77.79803571428572,86.7225,186.60875000000001,276.7375,92.26249999999999,5036.736777455358,85.0,92.0,21.0
2025-11-17,division,Rangpur,Rangpur,7.0,7.0,36.0,70.0,50.0,78.0,83.0,40.75,52.5,70.0,82.0,26.474830814693924,0.19161676646706588,0.780373831775701,691.2857142857143,16.68403182311846,11,-0.5680647467311559,0.8229838658936564,0.0,0.0,0.0,0.0,0.185,0.8262499999999999,99.76125,0.043750000000000004,0.00125,14.732499999999998,8.3225,134.845,61.44375,20.13517857142857,25.295357142857142,23.30517857142857,25.804642857142856,29.896071428571428,26.25839285714286,28.76482142857143,80.96517857142857,79.10553571428571,84.37160714285714,175.9424999999999,363.66499999999996,100.77249999999995,4619.967285267855,15.0,19.0,5.0
2025-11-17,division,Sylhet,Sylhet,14.0,14.0,13.0,24.0,19.0,21.0,8.0,17.5,16.875,24.0,24.0,5.066228051190221,0.8108108108108109,1.034965034965035,694.5714285714286,16.21657018255286,11,-0.5680647467311559,0.8229838658936564,0.0,0.0,0.0,0.0,0.0,28.81,66.8825,0.6900000000000001,0.07,107.9625,73.51,141.8775,103.96000000000001,21.409999999999997,26.5475,25.042857142857144,27.10642857142857,31.50714285714286,26.743214285714284,28.344285714285714,76.33714285714285,76.79892857142858,87.34857142857143,294.66249999999985,481.3399999999999,95.69249999999988,7880.222379464281,36.0,14.0,2.0
2025-11-24,division,Barishal,Barishal,395.0,395.0,570.0,746.0,731.0,830.0,701.0,610.5,717.125,746.0,830.0,164.27720474855914,0.6475878986099755,0.8515230635335074,505.42857142857144,16.02379618021547,11,-0.4647231720437684,0.88545602565321,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,14.121666666666668,38.13666666666666,6.676666666666667,4.596666666666667,139.85333333333332,84.715,44.65833333333333,20.55404761904762,25.560952380952383,21.207380952380955,28.047619047619047,30.989285714285714,26.694285714285712,28.25261904761905,77.75142857142856,82.26142857142857,88.91452380952381,309.4133333333333,300.65666666666664,14.158333333333363,8259.567923809522,272.0,257.0,
2025-11-24,division,Chattogram,Chattogram,600.0,600.0,643.0,823.0,601.0,703.0,598.0,666.75,669.375,823.0,823.0,106.07662324942284,0.9000374391613628,0.9960842811859034,495.0,17.31813049167358,11,-0.4647231720437684,0.88545602565321,0.0,0.0,0.0,0.0,0.009090909090909092,0.0,36.43181818181818,25.481818181818184,5.914545454545455,13.138181818181819,122.68272727272728,97.0790909090909,49.622727272727275,20.51909090909091,25.84012987012987,21.983246753246753,27.78649350649351,31.186103896103894,26.953766233766235,27.70753246753247,77.70012987012987,80.78584415584416,89.43181818181819,254.74636363636353,375.48636363636354,36.440909090908974,6866.373934356549,582.0,437.0,
2025-11-24,division,Dhaka,Dhaka,2044.0,2044.0,2474.0,2710.0,3299.0,3428.0,1916.0,2631.75,2741.0,3299.0,3428.0,523.3484339647282,0.776754344316779,0.9601568198395332,233.42857142857142,17.604592364757483,11,-0.4647231720437684,0.88545602565321,0.0,0.0,0.0,0.0,0.0,0.0,7.203076923076923,79.89153846153846,0.2961538461538462,1.5053846153846153,112.00461538461538,87.06615384615384,54.16153846153846,19.72384615384615,25.5389010989011,20.66065934065934,27.145604395604398,30.827142857142857,26.126923076923074,27.733846153846155,78.82296703296703,82.57087912087913,91.1854945054945,229.7915384615384,293.92923076923074,7.203076923076866,6003.745849112424,1630.0,1386.0,
2025-11-24,division,Khulna,Khulna,191.0,191.0,206.0,231.0,239.0,310.0,94.0,216.75,241.375,239.0,310.0,22.18670773233344,0.8817451205510907,0.8984012377514182,557.4285714285714,16.659378702207434,11,-0.4647231720437684,0.88545602565321,0.0,0.0,0.0,0.0,0.0,0.0,2.6689999999999996,56.009,1.571,0.187,85.73400000000001,88.361,46.436,19.252428571428574,25.656571428571432,19.792285714285715,26.899142857142856,30.782142857142855,25.56742857142857,27.752142857142854,80.4827142857143,86.01157142857143,90.885,167.92299999999997,223.06999999999994,2.6699999999999426,4293.359307999999,109.0,147.0,
2025-11-24,division,Mymensingh,Mymensingh,72.0,72.0,87.0,130.0,104.0,113.0,75.0,98.25,99.5,130.0,130.0,24.878035828149066,0.7355163727959698,0.9875621890547264,574.4285714285714,16.31903432869183,11,-0.4647231720437684,0.88545602565321,0.0,0.0,0.0,0.0,0.0,0.0,6.64,101.7875,0.14,0.0475,126.69500000000001,126.7875,54.06,19.805,25.49214285714286,20.936785714285712,26.1575,30.022857142857145,26.21607142857143,27.567500000000003,78.82392857142858,81.77928571428572,90.44035714285714,203.685,316.995,6.64,5339.820508928571,40.0,39.0,
