date,division,district,admissions_24h,cumulative_total,cumulative_deaths,cumulative_discharged,district_raw,source,date_source
2021-12-13,Rajshahi,Pabna,0,37,0,34,পােনা,wayback_dghs_pdf,pdf_text
2021-12-13,Rajshahi,Rajshahi,0,82,0,82,িাজ াহী,wayback_dghs_pdf,pdf_text
2021-12-13,Rajshahi,Sirajganj,0,16,0,14,রসিাজগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-13,Rangpur,Dinajpur,0,39,0,39,রদনাজপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Rangpur,Gaibandha,0,2,0,2,গাইোন্ধা,wayback_dghs_pdf,pdf_text
2021-12-13,Rangpur,Kurigram,0,1,0,1,কুরড়গ্রা,wayback_dghs_pdf,pdf_text
2021-12-13,Rangpur,Lalmonirhat,0,0,0,0,লাল রনিহাট,wayback_dghs_pdf,pdf_text
2021-12-13,Rangpur,Nilphamari,0,10,0,10,নীলফা ািী,wayback_dghs_pdf,pdf_text
2021-12-13,Rangpur,Panchagarh,0,0,0,0,পঞ্চগড়,wayback_dghs_pdf,pdf_text
2021-12-13,Rangpur,Rangpur,0,18,0,18,িিংপুি,wayback_dghs_pdf,pdf_text
2021-12-13,Rangpur,Thakurgaon,0,0,0,0,ঠাকুিগাঁও,wayback_dghs_pdf,pdf_text
2021-12-13,Sylhet,Habiganj,0,18,0,18,হরেগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-13,Sylhet,Moulvibazar,0,4,0,4,ব ৌলভীোজাি,wayback_dghs_pdf,pdf_text
2021-12-13,Sylhet,Sunamganj,0,0,0,0,সুনা গঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-13,Sylhet,Sylhet,0,25,0,25,রসমলট,wayback_dghs_pdf,pdf_text
2021-12-14,Barishal,Barguna,2,76,0,75,েিগুনা,wayback_dghs_pdf,pdf_text
2021-12-14,Barishal,Barishal,0,219,0,217,েরি াল,wayback_dghs_pdf,pdf_text
2021-12-14,Barishal,Bhola,0,62,0,62,বভালা,wayback_dghs_pdf,pdf_text
2021-12-14,Barishal,Jhalokati,0,10,0,2,িালকাঠি,wayback_dghs_pdf,pdf_text
2021-12-14,Barishal,Patuakhali,1,251,1,246,পটুয়াখালী,wayback_dghs_pdf,pdf_text
2021-12-14,Barishal,Pirojpur,0,27,0,27,রপমিাজপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Chattogram,Bandarban,0,13,0,13,োন্দিোন,wayback_dghs_pdf,pdf_text
2021-12-14,Chattogram,Brahmanbaria,0,3,0,3,ব্রাহ্মনোরড়য়া,wayback_dghs_pdf,pdf_text
2021-12-14,Chattogram,Chandpur,0,129,0,127,চাঁদপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Chattogram,Chattogram,9,524,2,508,চট্টগ্রা,wayback_dghs_pdf,pdf_text
2021-12-14,Chattogram,Cox's Bazar,0,244,0,244,কক্সোজাি,wayback_dghs_pdf,pdf_text
2021-12-14,Chattogram,Cumilla,0,136,0,135,কুর ল্লা,wayback_dghs_pdf,pdf_text
2021-12-14,Chattogram,Feni,0,44,0,44,বফনী,wayback_dghs_pdf,pdf_text
2021-12-14,Chattogram,Khagrachhari,0,4,0,4,খাগড়াছরড়,wayback_dghs_pdf,pdf_text
2021-12-14,Chattogram,Lakshmipur,0,24,0,23,লক্ষীপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Chattogram,Noakhali,0,0,0,0,বনায়াখালী,wayback_dghs_pdf,pdf_text
2021-12-14,Chattogram,Rangamati,0,0,0,0,িাঙ্গা াটি,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Dhaka,0,8,0,8,ঢাকা,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Dhaka Metro,26,23435,92,23229,ঢাকা হানগি,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Faridpur,0,52,0,51,ফরিদপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Gazipur,1,1118,0,1110,গাজীপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Gopalganj,0,4,0,4,বগাপালগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Kishoreganj,0,80,0,80,রকম ািগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Madaripur,0,95,0,95,াদািীপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Manikganj,0,127,0,127,ারনকগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Munshiganj,0,32,0,32,মুরিরগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Narayanganj,0,1,0,1,নািায়ণগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Narsingdi,0,43,0,42,নিরসিংদী,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Rajbari,0,18,0,18,িাজোড়ী,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Shariatpur,0,66,0,66,িীয়তপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Dhaka,Tangail,0,71,0,71,টাঙ্গাইল,wayback_dghs_pdf,pdf_text
2021-12-14,Khulna,Bagerhat,0,20,0,20,োমগিহাট,wayback_dghs_pdf,pdf_text
2021-12-14,Khulna,Chuadanga,0,2,0,2,চুয়ািাঙ্গা,wayback_dghs_pdf,pdf_text
2021-12-14,Khulna,Jashore,0,141,1,135,যম াি,wayback_dghs_pdf,pdf_text
2021-12-14,Khulna,Jhenaidah,0,32,0,32,রিনাইদহ,wayback_dghs_pdf,pdf_text
2021-12-14,Khulna,Khulna,1,151,1,149,খুলনা,wayback_dghs_pdf,pdf_text
2021-12-14,Khulna,Kushtia,0,47,0,47,কুরিয়া,wayback_dghs_pdf,pdf_text
2021-12-14,Khulna,Magura,0,22,0,22,াগুিা,wayback_dghs_pdf,pdf_text
2021-12-14,Khulna,Meherpur,0,19,0,19,ব মহিপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Khulna,Narail,0,39,0,38,নড়াইল,wayback_dghs_pdf,pdf_text
2021-12-14,Khulna,Satkhira,0,25,0,25,সাতক্ষীিা,wayback_dghs_pdf,pdf_text
2021-12-14,Mymensingh,Jamalpur,0,23,1,22,জা ালপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Mymensingh,Mymensingh,0,248,2,243,য় নরসিংহ,wayback_dghs_pdf,pdf_text
2021-12-14,Mymensingh,Netrokona,0,16,0,16,বনত্রমকানা,wayback_dghs_pdf,pdf_text
2021-12-14,Mymensingh,Sherpur,0,20,0,20,ব িপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Rajshahi,Bogura,0,19,1,16,েগুড়া,wayback_dghs_pdf,pdf_text
2021-12-14,Rajshahi,Chapai Nawabganj,0,11,0,11,চাপাইনোেগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-14,Rajshahi,Joypurhat,0,3,0,2,জয়পুিহাট,wayback_dghs_pdf,pdf_text
2021-12-14,Rajshahi,Naogaon,0,27,0,24,নওগাঁ,wayback_dghs_pdf,pdf_text
2021-12-14,Rajshahi,Natore,0,8,0,6,নামটাি,wayback_dghs_pdf,pdf_text
2021-12-14,Rajshahi,Pabna,0,37,0,34,পােনা,wayback_dghs_pdf,pdf_text
2021-12-14,Rajshahi,Rajshahi,0,82,0,82,িাজ াহী,wayback_dghs_pdf,pdf_text
2021-12-14,Rajshahi,Sirajganj,0,16,0,14,রসিাজগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-14,Rangpur,Dinajpur,0,39,0,39,রদনাজপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Rangpur,Gaibandha,0,2,0,2,গাইোন্ধা,wayback_dghs_pdf,pdf_text
2021-12-14,Rangpur,Kurigram,0,1,0,1,কুরড়গ্রা,wayback_dghs_pdf,pdf_text
2021-12-14,Rangpur,Lalmonirhat,0,0,0,0,লাল রনিহাট,wayback_dghs_pdf,pdf_text
2021-12-14,Rangpur,Nilphamari,0,10,0,10,নীলফা ািী,wayback_dghs_pdf,pdf_text
2021-12-14,Rangpur,Panchagarh,0,0,0,0,পঞ্চগড়,wayback_dghs_pdf,pdf_text
2021-12-14,Rangpur,Rangpur,0,18,0,18,িিংপুি,wayback_dghs_pdf,pdf_text
2021-12-14,Rangpur,Thakurgaon,0,0,0,0,ঠাকুিগাঁও,wayback_dghs_pdf,pdf_text
2021-12-14,Sylhet,Habiganj,0,18,0,18,হরেগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-14,Sylhet,Moulvibazar,0,4,0,4,ব ৌলভীোজাি,wayback_dghs_pdf,pdf_text
2021-12-14,Sylhet,Sunamganj,0,0,0,0,সুনা গঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-14,Sylhet,Sylhet,0,25,0,25,রসমলট,wayback_dghs_pdf,pdf_text
2021-12-15,Barishal,Barguna,1,77,0,76,েিগুনা,wayback_dghs_pdf,pdf_text
2021-12-15,Barishal,Barishal,3,222,0,219,েরি াল,wayback_dghs_pdf,pdf_text
2021-12-15,Barishal,Bhola,0,62,0,62,বভালা,wayback_dghs_pdf,pdf_text
2021-12-15,Barishal,Jhalokati,0,10,0,1,িালকাঠি,wayback_dghs_pdf,pdf_text
2021-12-15,Barishal,Patuakhali,0,251,1,248,পটুয়াখালী,wayback_dghs_pdf,pdf_text
2021-12-15,Barishal,Pirojpur,0,27,0,27,রপমিাজপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Chattogram,Bandarban,0,13,0,13,োন্দিোন,wayback_dghs_pdf,pdf_text
2021-12-15,Chattogram,Brahmanbaria,0,3,0,3,ব্রাহ্মনোরড়য়া,wayback_dghs_pdf,pdf_text
2021-12-15,Chattogram,Chandpur,0,129,0,127,চাঁদপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Chattogram,Chattogram,3,527,2,508,চট্টগ্রা,wayback_dghs_pdf,pdf_text
2021-12-15,Chattogram,Cox's Bazar,0,244,0,244,কক্সোজাি,wayback_dghs_pdf,pdf_text
2021-12-15,Chattogram,Cumilla,0,136,0,135,কুর ল্লা,wayback_dghs_pdf,pdf_text
2021-12-15,Chattogram,Feni,0,44,0,44,বফনী,wayback_dghs_pdf,pdf_text
2021-12-15,Chattogram,Khagrachhari,0,4,0,4,খাগড়াছরড়,wayback_dghs_pdf,pdf_text
2021-12-15,Chattogram,Lakshmipur,0,24,0,23,লক্ষীপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Chattogram,Noakhali,0,0,0,0,বনায়াখালী,wayback_dghs_pdf,pdf_text
2021-12-15,Chattogram,Rangamati,0,0,0,0,িাঙ্গা াটি,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Dhaka,0,8,0,8,ঢাকা,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Dhaka Metro,20,23455,92,23262,ঢাকা হানগি,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Faridpur,0,52,0,51,ফরিদপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Gazipur,0,1118,0,1113,গাজীপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Gopalganj,0,4,0,4,বগাপালগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Kishoreganj,0,80,0,80,রকম ািগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Madaripur,0,95,0,95,াদািীপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Manikganj,0,127,0,127,ারনকগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Munshiganj,0,32,0,32,মুরিরগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Narayanganj,0,1,0,1,নািায়ণগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Narsingdi,0,43,0,42,নিরসিংদী,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Rajbari,0,18,0,18,িাজোড়ী,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Shariatpur,0,66,0,66,িীয়তপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Dhaka,Tangail,0,71,0,71,টাঙ্গাইল,wayback_dghs_pdf,pdf_text
2021-12-15,Khulna,Bagerhat,0,20,0,20,োমগিহাট,wayback_dghs_pdf,pdf_text
2021-12-15,Khulna,Chuadanga,0,2,0,2,চুয়ািাঙ্গা,wayback_dghs_pdf,pdf_text
2021-12-15,Khulna,Jashore,0,141,1,135,যম াি,wayback_dghs_pdf,pdf_text
2021-12-15,Khulna,Jhenaidah,0,32,0,32,রিনাইদহ,wayback_dghs_pdf,pdf_text
2021-12-15,Khulna,Khulna,0,151,1,150,খুলনা,wayback_dghs_pdf,pdf_text
2021-12-15,Khulna,Kushtia,0,47,0,47,কুরিয়া,wayback_dghs_pdf,pdf_text
2021-12-15,Khulna,Magura,0,22,0,22,াগুিা,wayback_dghs_pdf,pdf_text
2021-12-15,Khulna,Meherpur,0,19,0,19,ব মহিপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Khulna,Narail,0,39,0,38,নড়াইল,wayback_dghs_pdf,pdf_text
2021-12-15,Khulna,Satkhira,0,25,0,25,সাতক্ষীিা,wayback_dghs_pdf,pdf_text
2021-12-15,Mymensingh,Jamalpur,0,23,1,22,জা ালপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Mymensingh,Mymensingh,0,248,2,243,য় নরসিংহ,wayback_dghs_pdf,pdf_text
2021-12-15,Mymensingh,Netrokona,0,16,0,16,বনত্রমকানা,wayback_dghs_pdf,pdf_text
2021-12-15,Mymensingh,Sherpur,0,20,0,20,ব িপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Rajshahi,Bogura,0,19,1,16,েগুড়া,wayback_dghs_pdf,pdf_text
2021-12-15,Rajshahi,Chapai Nawabganj,0,11,0,11,চাপাইনোেগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-15,Rajshahi,Joypurhat,0,3,0,2,জয়পুিহাট,wayback_dghs_pdf,pdf_text
2021-12-15,Rajshahi,Naogaon,0,27,0,24,নওগাঁ,wayback_dghs_pdf,pdf_text
2021-12-15,Rajshahi,Natore,0,8,0,6,নামটাি,wayback_dghs_pdf,pdf_text
2021-12-15,Rajshahi,Pabna,0,37,0,34,পােনা,wayback_dghs_pdf,pdf_text
2021-12-15,Rajshahi,Rajshahi,0,82,0,82,িাজ াহী,wayback_dghs_pdf,pdf_text
2021-12-15,Rajshahi,Sirajganj,0,16,0,14,রসিাজগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-15,Rangpur,Dinajpur,0,39,0,39,রদনাজপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Rangpur,Gaibandha,0,2,0,2,গাইোন্ধা,wayback_dghs_pdf,pdf_text
2021-12-15,Rangpur,Kurigram,0,1,0,1,কুরড়গ্রা,wayback_dghs_pdf,pdf_text
2021-12-15,Rangpur,Lalmonirhat,0,0,0,0,লাল রনিহাট,wayback_dghs_pdf,pdf_text
2021-12-15,Rangpur,Nilphamari,0,10,0,10,নীলফা ািী,wayback_dghs_pdf,pdf_text
2021-12-15,Rangpur,Panchagarh,0,0,0,0,পঞ্চগড়,wayback_dghs_pdf,pdf_text
2021-12-15,Rangpur,Rangpur,0,18,0,18,িিংপুি,wayback_dghs_pdf,pdf_text
2021-12-15,Rangpur,Thakurgaon,0,0,0,0,ঠাকুিগাঁও,wayback_dghs_pdf,pdf_text
2021-12-15,Sylhet,Habiganj,0,18,0,18,হরেগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-15,Sylhet,Moulvibazar,0,4,0,4,ব ৌলভীোজাি,wayback_dghs_pdf,pdf_text
2021-12-15,Sylhet,Sunamganj,0,0,0,0,সুনা গঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-15,Sylhet,Sylhet,0,25,0,25,রসমলট,wayback_dghs_pdf,pdf_text
2021-12-16,Barishal,Barguna,0,77,0,76,েিগুনা,wayback_dghs_pdf,pdf_text
2021-12-16,Barishal,Barishal,0,222,0,219,েরি াল,wayback_dghs_pdf,pdf_text
2021-12-16,Barishal,Bhola,0,62,0,62,বভালা,wayback_dghs_pdf,pdf_text
2021-12-16,Barishal,Jhalokati,0,10,0,1,িালকাঠি,wayback_dghs_pdf,pdf_text
2021-12-16,Barishal,Patuakhali,1,252,1,248,পটুয়াখালী,wayback_dghs_pdf,pdf_text
2021-12-16,Barishal,Pirojpur,0,27,0,27,রপমিাজপুি,wayback_dghs_pdf,pdf_text
2021-12-16,Chattogram,Bandarban,0,13,0,13,োন্দিোন,wayback_dghs_pdf,pdf_text
2021-12-16,Chattogram,Brahmanbaria,0,3,0,3,ব্রাহ্মনোরড়য়া,wayback_dghs_pdf,pdf_text
2021-12-16,Chattogram,Chandpur,0,129,0,127,চাঁদপুি,wayback_dghs_pdf,pdf_text
2021-12-16,Chattogram,Chattogram,0,527,2,511,চট্টগ্রা,wayback_dghs_pdf,pdf_text
2021-12-16,Chattogram,Cox's Bazar,0,244,0,244,কক্সোজাি,wayback_dghs_pdf,pdf_text
2021-12-16,Chattogram,Cumilla,2,138,0,136,কুর ল্লা,wayback_dghs_pdf,pdf_text
2021-12-16,Chattogram,Feni,0,44,0,44,বফনী,wayback_dghs_pdf,pdf_text
2021-12-16,Chattogram,Khagrachhari,0,4,0,4,খাগড়াছরড়,wayback_dghs_pdf,pdf_text
2021-12-16,Chattogram,Lakshmipur,0,24,0,23,লক্ষীপুি,wayback_dghs_pdf,pdf_text
2021-12-16,Chattogram,Noakhali,0,0,0,0,বনায়াখালী,wayback_dghs_pdf,pdf_text
2021-12-16,Chattogram,Rangamati,0,0,0,0,িাঙ্গা াটি,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Dhaka,0,8,0,8,ঢাকা,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Dhaka Metro,12,23467,92,23276,ঢাকা হানগি,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Faridpur,0,52,0,52,ফরিদপুি,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Gazipur,0,1118,0,1114,গাজীপুি,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Gopalganj,0,4,0,4,বগাপালগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Kishoreganj,0,80,0,80,রকম ািগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Madaripur,0,95,0,95,াদািীপুি,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Manikganj,0,127,0,127,ারনকগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Munshiganj,0,32,0,32,মুরিরগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Narayanganj,0,1,0,1,নািায়ণগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Narsingdi,0,43,0,43,নিরসিংদী,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Rajbari,0,18,0,18,িাজোড়ী,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Shariatpur,0,66,0,66,িীয়তপুি,wayback_dghs_pdf,pdf_text
2021-12-16,Dhaka,Tangail,0,71,0,71,টাঙ্গাইল,wayback_dghs_pdf,pdf_text
2021-12-16,Khulna,Bagerhat,0,20,0,20,োমগিহাট,wayback_dghs_pdf,pdf_text
2021-12-16,Khulna,Chuadanga,0,2,0,2,চুয়ািাঙ্গা,wayback_dghs_pdf,pdf_text
2021-12-16,Khulna,Jashore,0,141,1,135,যম াি,wayback_dghs_pdf,pdf_text
2021-12-16,Khulna,Jhenaidah,0,32,0,32,রিনাইদহ,wayback_dghs_pdf,pdf_text
2021-12-16,Khulna,Khulna,1,152,1,150,খুলনা,wayback_dghs_pdf,pdf_text
2021-12-16,Khulna,Kushtia,0,47,0,47,কুরিয়া,wayback_dghs_pdf,pdf_text
2021-12-16,Khulna,Magura,0,22,0,22,াগুিা,wayback_dghs_pdf,pdf_text
2021-12-16,Khulna,Meherpur,0,19,0,19,ব মহিপুি,wayback_dghs_pdf,pdf_text
2021-12-16,Khulna,Narail,0,39,0,38,নড়াইল,wayback_dghs_pdf,pdf_text
2021-12-16,Khulna,Satkhira,0,25,0,25,সাতক্ষীিা,wayback_dghs_pdf,pdf_text
2021-12-16,Mymensingh,Jamalpur,0,23,1,22,জা ালপুি,wayback_dghs_pdf,pdf_text
2021-12-16,Mymensingh,Mymensingh,1,249,2,245,য় নরসিংহ,wayback_dghs_pdf,pdf_text
2021-12-16,Mymensingh,Netrokona,0,16,0,16,বনত্রমকানা,wayback_dghs_pdf,pdf_text
2021-12-16,Mymensingh,Sherpur,0,20,0,20,ব িপুি,wayback_dghs_pdf,pdf_text
2021-12-16,Rajshahi,Bogura,0,19,1,16,েগুড়া,wayback_dghs_pdf,pdf_text
2021-12-16,Rajshahi,Chapai Nawabganj,0,11,0,11,চাপাইনোেগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-16,Rajshahi,Joypurhat,0,3,0,2,জয়পুিহাট,wayback_dghs_pdf,pdf_text
2021-12-16,Rajshahi,Naogaon,0,27,0,24,নওগাঁ,wayback_dghs_pdf,pdf_text
2021-12-16,Rajshahi,Natore,0,8,0,6,নামটাি,wayback_dghs_pdf,pdf_text
2021-12-16,Rajshahi,Pabna,0,37,0,34,পােনা,wayback_dghs_pdf,pdf_text
2021-12-16,Rajshahi,Rajshahi,0,82,0,82,িাজ াহী,wayback_dghs_pdf,pdf_text
2021-12-16,Rajshahi,Sirajganj,0,16,0,14,রসিাজগঞ্জ,wayback_dghs_pdf,pdf_text
2021-12-16,Rangpur,Dinajpur,0,39,0,39,রদনাজপুি,wayback_dghs_pdf,pdf_text
2021-12-16,Rangpur,Gaibandha,0,2,0,2,গাইোন্ধা,wayback_dghs_pdf,pdf_text
2021-12-16,Rangpur,Kurigram,0,1,0,1,কুরড়গ্রা,wayback_dghs_pdf,pdf_text
2021-12-16,Rangpur,Lalmonirhat,0,0,0,0,লাল রনিহাট,wayback_dghs_pdf,pdf_text
2021-12-16,Rangpur,Nilphamari,0,10,0,10,নীলফা ািী,wayback_dghs_pdf,pdf_text
