date,division,district,rain_mm,temp_mean_c,temp_max_c,humidity_pct
2021-06-02,Rangpur,Dinajpur,3.37,28.96,32.52,81.29
2021-06-02,Dhaka,Faridpur,13.57,28.83,31.56,86.52
2021-06-02,Chattogram,Feni,28.98,28.24,30.08,90.57
2021-06-02,Rangpur,Gaibandha,2.32,28.74,31.56,83.6
2021-06-02,Dhaka,Gazipur,16.08,28.22,30.34,89.55
2021-06-02,Dhaka,Gopalganj,14.89,28.76,31.44,87.25
2021-06-02,Sylhet,Habiganj,22.51,27.62,29.51,91.0
2021-06-02,Mymensingh,Jamalpur,5.7,28.32,30.34,87.64
2021-06-02,Khulna,Jashore,11.73,29.18,32.27,85.33
2021-06-02,Barishal,Jhalokati,16.19,28.93,31.45,87.11
2021-06-02,Khulna,Jhenaidah,12.65,29.12,32.1,85.24
2021-06-02,Rajshahi,Joypurhat,6.17,28.77,31.14,84.87
2021-06-02,Chattogram,Khagrachhari,29.29,27.75,30.95,88.8
2021-06-02,Khulna,Khulna,11.16,29.24,32.15,85.32
2021-06-02,Dhaka,Kishoreganj,22.51,27.62,29.51,91.0
2021-06-02,Rangpur,Kurigram,1.38,28.43,31.42,83.24
2021-06-02,Khulna,Kushtia,10.38,29.39,32.48,83.7
2021-06-02,Chattogram,Lakshmipur,20.24,28.56,30.39,89.05
2021-06-02,Rangpur,Lalmonirhat,2.85,28.81,32.47,81.72
2021-06-02,Dhaka,Madaripur,14.89,28.76,31.44,87.25
2021-06-02,Khulna,Magura,12.65,29.12,32.1,85.24
2021-06-02,Dhaka,Manikganj,13.14,28.73,31.41,87.02
2021-06-02,Khulna,Meherpur,10.38,29.39,32.48,83.7
2021-06-02,Sylhet,Moulvibazar,23.04,27.2,29.01,90.91
2021-06-02,Dhaka,Munshiganj,17.63,28.37,30.25,89.1
2021-06-02,Mymensingh,Mymensingh,14.24,28.18,30.44,90.07
2021-06-02,Rajshahi,Naogaon,6.01,29.01,31.91,83.06
2021-06-02,Khulna,Narail,11.73,29.18,32.27,85.33
2021-06-02,Dhaka,Narayanganj,17.63,28.37,30.25,89.1
2021-06-02,Dhaka,Narsingdi,16.08,28.22,30.34,89.55
2021-06-02,Rajshahi,Natore,11.16,28.94,31.45,85.21
2021-06-02,Mymensingh,Netrokona,7.77,27.77,30.15,90.48
2021-06-02,Rangpur,Nilphamari,4.84,28.84,33.09,79.22
2021-06-02,Chattogram,Noakhali,30.27,29.21,29.8,86.53
2021-06-02,Rajshahi,Pabna,12.87,29.02,31.8,85.5
2021-06-02,Rangpur,Panchagarh,8.36,28.41,32.89,78.35
2021-06-02,Barishal,Patuakhali,21.35,29.11,29.89,87.83
2021-06-02,Barishal,Pirojpur,16.19,28.93,31.45,87.11
2021-06-02,Dhaka,Rajbari,12.65,29.12,32.1,85.24
2021-06-02,Rajshahi,Rajshahi,9.33,29.17,32.08,83.89
2021-06-02,Chattogram,Rangamati,19.02,26.86,29.95,86.46
2021-06-02,Rangpur,Rangpur,2.32,28.74,31.56,83.6
2021-06-02,Khulna,Satkhira,11.16,29.24,32.15,85.32
2021-06-02,Dhaka,Shariatpur,20.24,28.56,30.39,89.05
2021-06-02,Mymensingh,Sherpur,5.7,28.32,30.34,87.64
2021-06-02,Rajshahi,Sirajganj,11.16,28.94,31.45,85.21
2021-06-02,Sylhet,Sunamganj,16.41,27.26,29.31,92.13
2021-06-02,Sylhet,Sylhet,17.27,26.73,28.78,92.02
2021-06-02,Dhaka,Tangail,11.65,28.62,30.86,87.28
2021-06-02,Rangpur,Thakurgaon,3.4,29.08,33.39,76.95
2021-06-03,Khulna,Bagerhat,19.95,29.51,32.96,84.76
2021-06-03,Chattogram,Bandarban,24.99,27.71,31.69,86.92
2021-06-03,Barishal,Barguna,31.21,29.33,31.7,86.01
2021-06-03,Barishal,Barishal,13.85,29.33,32.35,86.01
2021-06-03,Barishal,Bhola,32.83,29.33,31.95,86.32
2021-06-03,Rajshahi,Bogura,0.54,29.34,32.59,82.09
2021-06-03,Chattogram,Brahmanbaria,3.69,28.84,32.12,87.04
2021-06-03,Chattogram,Chandpur,5.57,29.46,32.62,85.41
2021-06-03,Rajshahi,Chapai Nawabganj,0.16,30.11,33.8,75.48
2021-06-03,Chattogram,Chattogram,30.34,29.26,31.69,85.78
2021-06-03,Khulna,Chuadanga,1.34,29.62,33.38,81.9
2021-06-03,Chattogram,Cox's Bazar,76.26,29.48,30.56,86.03
2021-06-03,Chattogram,Cumilla,4.1,28.76,32.12,87.23
2021-06-03,Dhaka,Dhaka,1.86,29.25,32.49,85.86
2021-06-03,Rangpur,Dinajpur,0.65,29.21,32.92,79.29
2021-06-03,Dhaka,Faridpur,4.24,29.47,32.79,84.64
2021-06-03,Chattogram,Feni,13.26,28.99,31.92,86.79
2021-06-03,Rangpur,Gaibandha,0.67,29.22,32.7,81.17
2021-06-03,Dhaka,Gazipur,2.91,29.23,32.35,86.94
2021-06-03,Dhaka,Gopalganj,9.81,29.45,32.93,84.75
2021-06-03,Sylhet,Habiganj,6.68,28.81,32.07,88.23
2021-06-03,Mymensingh,Jamalpur,0.87,28.73,31.85,86.47
2021-06-03,Khulna,Jashore,5.67,29.53,33.12,84.1
2021-06-03,Barishal,Jhalokati,19.95,29.51,32.96,84.76
2021-06-03,Khulna,Jhenaidah,2.87,29.43,32.88,84.0
2021-06-03,Rajshahi,Joypurhat,0.54,29.34,32.59,82.09
2021-06-03,Chattogram,Khagrachhari,11.84,28.48,32.83,87.12
2021-06-03,Khulna,Khulna,8.73,29.65,33.24,83.7
2021-06-03,Dhaka,Kishoreganj,6.68,28.81,32.07,88.23
2021-06-03,Rangpur,Kurigram,0.57,28.57,32.01,83.1
2021-06-03,Khulna,Kushtia,0.69,29.68,33.39,80.58
2021-06-03,Chattogram,Lakshmipur,13.85,29.33,32.35,86.01
2021-06-03,Rangpur,Lalmonirhat,1.37,28.82,32.56,81.3
2021-06-03,Dhaka,Madaripur,9.81,29.45,32.93,84.75
2021-06-03,Khulna,Magura,2.87,29.43,32.88,84.0
2021-06-03,Dhaka,Manikganj,1.86,29.25,32.49,85.86
2021-06-03,Khulna,Meherpur,0.69,29.68,33.39,80.58
2021-06-03,Sylhet,Moulvibazar,7.43,28.47,32.1,88.37
2021-06-03,Dhaka,Munshiganj,5.57,29.46,32.62,85.41
2021-06-03,Mymensingh,Mymensingh,2.42,28.86,32.2,88.48
2021-06-03,Rajshahi,Naogaon,0.4,29.56,33.04,78.91
2021-06-03,Khulna,Narail,5.67,29.53,33.12,84.1
2021-06-03,Dhaka,Narayanganj,5.57,29.46,32.62,85.41
2021-06-03,Dhaka,Narsingdi,2.91,29.23,32.35,86.94
2021-06-03,Rajshahi,Natore,0.58,29.38,32.58,82.85
2021-06-03,Mymensingh,Netrokona,2.74,28.2,31.33,89.31
2021-06-03,Rangpur,Nilphamari,1.77,28.78,32.98,79.26
2021-06-03,Chattogram,Noakhali,33.85,29.68,30.84,84.18
2021-06-03,Rajshahi,Pabna,1.16,29.34,32.63,83.98
2021-06-03,Rangpur,Panchagarh,3.19,28.43,32.84,77.15
2021-06-03,Barishal,Patuakhali,65.81,29.33,30.5,87.16
2021-06-03,Barishal,Pirojpur,19.95,29.51,32.96,84.76
2021-06-03,Dhaka,Rajbari,2.87,29.43,32.88,84.0
2021-06-03,Rajshahi,Rajshahi,0.42,29.69,33.21,79.47
2021-06-03,Chattogram,Rangamati,6.62,27.75,32.08,83.8
2021-06-03,Rangpur,Rangpur,0.67,29.22,32.7,81.17
2021-06-03,Khulna,Satkhira,8.73,29.65,33.24,83.7
2021-06-03,Dhaka,Shariatpur,13.85,29.33,32.35,86.01
2021-06-03,Mymensingh,Sherpur,0.87,28.73,31.85,86.47
2021-06-03,Rajshahi,Sirajganj,0.58,29.38,32.58,82.85
2021-06-03,Sylhet,Sunamganj,7.44,28.08,31.21,89.53
2021-06-03,Sylhet,Sylhet,8.54,27.82,30.85,90.09
2021-06-03,Dhaka,Tangail,0.94,29.03,32.27,86.23
2021-06-03,Rangpur,Thakurgaon,0.53,29.22,33.58,75.81
2021-06-04,Khulna,Bagerhat,6.07,29.41,32.06,85.67
2021-06-04,Chattogram,Bandarban,30.09,27.13,30.25,89.95
2021-06-04,Barishal,Barguna,15.89,29.59,31.42,85.37
2021-06-04,Barishal,Barishal,6.33,29.36,32.07,86.12
2021-06-04,Barishal,Bhola,20.16,29.49,31.9,85.89
2021-06-04,Rajshahi,Bogura,2.99,30.03,33.84,81.06
2021-06-04,Chattogram,Brahmanbaria,4.24,28.95,31.83,87.17
2021-06-04,Chattogram,Chandpur,3.26,29.51,32.42,85.33
2021-06-04,Rajshahi,Chapai Nawabganj,0.38,30.94,35.42,73.7
2021-06-04,Chattogram,Chattogram,27.07,29.13,31.13,86.44
2021-06-04,Khulna,Chuadanga,0.6,29.95,33.56,81.96
2021-06-04,Chattogram,Cox's Bazar,42.13,29.6,30.33,84.47
2021-06-04,Chattogram,Cumilla,4.5,28.85,31.89,87.28
2021-06-04,Dhaka,Dhaka,2.39,29.37,32.24,86.44
2021-06-04,Rangpur,Dinajpur,1.48,30.24,34.79,75.97
2021-06-04,Dhaka,Faridpur,2.23,29.39,32.26,85.64
2021-06-04,Chattogram,Feni,8.55,29.01,31.58,87.14
2021-06-04,Rangpur,Gaibandha,3.81,30.08,34.07,78.95
2021-06-04,Dhaka,Gazipur,3.83,29.25,32.07,87.43
2021-06-04,Dhaka,Gopalganj,2.58,29.26,32.09,86.07
2021-06-04,Sylhet,Habiganj,10.74,28.81,31.17,90.04
2021-06-04,Mymensingh,Jamalpur,6.65,29.43,32.65,86.11
2021-06-04,Khulna,Jashore,0.95,29.36,32.32,85.57
2021-06-04,Barishal,Jhalokati,6.07,29.41,32.06,85.67
2021-06-04,Khulna,Jhenaidah,1.24,29.51,32.7,84.69
2021-06-04,Rajshahi,Joypurhat,2.99,30.03,33.84,81.06
2021-06-04,Chattogram,Khagrachhari,7.79,28.18,31.57,88.94
2021-06-04,Khulna,Khulna,0.62,29.47,32.15,85.14
2021-06-04,Dhaka,Kishoreganj,10.74,28.81,31.17,90.04
2021-06-04,Rangpur,Kurigram,6.28,29.44,33.17,81.07
2021-06-04,Khulna,Kushtia,0.63,30.23,34.11,79.73
2021-06-04,Chattogram,Lakshmipur,6.33,29.36,32.07,86.12
2021-06-04,Rangpur,Lalmonirhat,3.88,29.84,34.2,78.42
2021-06-04,Dhaka,Madaripur,2.58,29.26,32.09,86.07
2021-06-04,Khulna,Magura,1.24,29.51,32.7,84.69
